Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,811156,CMS ENERGY CORP,CMS-PC,NYSE,.N,CMS.N
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,1071739,CENTENE CORP,CNC,NYSE,.N,CNC.N
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882,1130310,CENTERPOINT ENERGY INC,CNP,NYSE,.N,CNP.N
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,711404,"COOPER COMPANIES, INC.",COO,Nasdaq,.O,COO.O
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002,1163165,CONOCOPHILLIPS,COP,NYSE,.N,COP.N
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985,1140859,"Cencora, Inc.",COR,NYSE,.N,COR.N
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976,909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq,.O,COST.O
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869,16732,CAMPBELL'S Co,CPB,Nasdaq,.O,CPB.O
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,900075,COPART INC,CPRT,Nasdaq,.O,CPRT.O
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,906345,1981,906345,CAMDEN PROPERTY TRUST,CPT,NYSE,.N,CPT.N
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947,1100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",CRL,NYSE,.N,CRL.N
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999,1108524,"Salesforce, Inc.",CRM,NYSE,.N,CRM.N
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,1535527,2011,1535527,"CrowdStrike Holdings, Inc.",CRWD,Nasdaq,.O,CRWD.O
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq,.O,CSCO.O
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987,1057352,"COSTAR GROUP, INC.",CSGP,Nasdaq,.O,CSGP.O
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1980,277948,CSX CORP,CSX,Nasdaq,.O,CSX.O
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,723254,CINTAS CORP,CTAS,Nasdaq,.O,CTAS.O
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989),858470,Coterra Energy Inc.,CTRA,NYSE,.N,CTRA.N
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Nasdaq,.O,CTSH.O
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019,1755672,"Corteva, Inc.",CTVA,NYSE,.N,CTVA.N
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996,64803,CVS HEALTH Corp,CVS,NYSE,.N,CVS.N
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879,93410,CHEVRON CORP,CVX,NYSE,.N,CVX.N
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,1590895,1973,1590895,"Caesars Entertainment, Inc.",CZR,Nasdaq,.O,CZR.O
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,715957,1983,715957,"DOMINION ENERGY, INC",D,NYSE,.N,D.N
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,27904,1929,27904,"DELTA AIR LINES, INC.",DAL,NYSE,.N,DAL.N
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1725057,1992,1725057,"Dayforce, Inc.",DAY,NYSE,.N,DAY.N
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,1666700,2017 (1802),1666700,"DuPont de Nemours, Inc.",DD,NYSE,.N,DD.N
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837,315189,DEERE & CO,DE,NYSE,.N,DE.N
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024-03-18,910521,1973,910521,DECKERS OUTDOOR CORP,DECK,NYSE,.N,DECK.N
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016,1571996,Dell Technologies Inc.,DELL,NYSE,.N,DELL.N
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,29534,1939,29534,DOLLAR GENERAL CORP,DG,NYSE,.N,DG.N
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967,1022079,QUEST DIAGNOSTICS INC,DGX,NYSE,.N,DGX.N
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,882184,HORTON D R INC /DE/,DHI,NYSE,.N,DHI.N
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,313616,1969,313616,DANAHER CORP /DE/,DHR,NYSE,.N,DHR.N
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923,1744489,Walt Disney Co,DIS,NYSE,.N,DIS.N
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,1297996,"DIGITAL REALTY TRUST, INC.",DLR,NYSE,.N,DLR.N
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,1297996,"DIGITAL REALTY TRUST, INC.",DLR-PK,NYSE,.N,DLR.N
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,1297996,"DIGITAL REALTY TRUST, INC.",DLR-PJ,NYSE,.N,DLR.N
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,1297996,"DIGITAL REALTY TRUST, INC.",DLR-PL,NYSE,.N,DLR.N
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,935703,1986,935703,"DOLLAR TREE, INC.",DLTR,Nasdaq,.O,DLTR.O
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",2008-03-31,765880,1985,765880,"HEALTHPEAK PROPERTIES, INC.",DOC,NYSE,.N,DOC.N
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,29905,1955,29905,DOVER Corp,DOV,NYSE,.N,DOV.N
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019 (1897),1751788,DOW INC.,DOW,NYSE,.N,DOW.N
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960,1286681,DOMINOS PIZZA INC,DPZ,Nasdaq,.O,DPZ.O
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,940944,1938,940944,DARDEN RESTAURANTS INC,DRI,NYSE,.N,DRI.N
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,936340,DTE ENERGY CO,DTE,NYSE,.N,DTE.N
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,936340,DTE ENERGY CO,DTW,NYSE,.N,DTE.N
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,936340,DTE ENERGY CO,DTB,NYSE,.N,DTE.N
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,936340,DTE ENERGY CO,DTG,NYSE,.N,DTE.N
