Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
IRM.N,IRM.N,,,,,,,,,,,,,
ISRG.O,ISRG.O,,,,,,,,,,,,,
IT.N,IT.N,,,,,,,,,,,,,
ITW.N,ITW.N,,,,,,,,,,,,,
J.N,J.N,,,,,,,,,,,,,
JBHT.O,JBHT.O,,,,,,,,,,,,,
JBL.N,JBL.N,,,,,,,,,,,,,
JCI.N,JCI.N,,,,,,,,,,,,,
JNJ.N,JNJ.N,,,,,,,,,,,,,
JNPR.N,JNPR.N,,,,,,,,,,,,,
K.N,K.N,,,,,,,,,,,,,
KDP.O,KDP.O,,,,,,,,,,,,,
KEYS.N,KEYS.N,,,,,,,,,,,,,
KHC.O,KHC.O,,,,,,,,,,,,,
KIM.N,KIM.N,,,,,,,,,,,,,
KIM.N,KIM.N,,,,,,,,,,,,,
KIM.N,KIM.N,,,,,,,,,,,,,
KIM.N,KIM.N,,,,,,,,,,,,,
KLAC.O,KLAC.O,,,,,,,,,,,,,
KMB.N,KMB.N,,,,,,,,,,,,,
KMI.N,KMI.N,,,,,,,,,,,,,
KMI.N,KMI.N,,,,,,,,,,,,,
KMX.N,KMX.N,,,,,,,,,,,,,
KO.N,KO.N,,,,,,,,,,,,,
KR.N,KR.N,,,,,,,,,,,,,
KVUE.N,KVUE.N,,,,,,,,,,,,,
LDOS.N,LDOS.N,,,,,,,,,,,,,
LEN.N,LEN.N,,,,,,,,,,,,,
LEN.N,LEN.N,,,,,,,,,,,,,
LH.N,LH.N,,,,,,,,,,,,,
LHX.N,LHX.N,,,,,,,,,,,,,
LII.N,LII.N,,,,,,,,,,,,,
LIN.O,LIN.O,,,,,,,,,,,,,
LKQ.O,LKQ.O,,,,,,,,,,,,,
LLY.N,LLY.N,,,,,,,,,,,,,
LMT.N,LMT.N,,,,,,,,,,,,,
LNT.O,LNT.O,,,,,,,,,,,,,
LOW.N,LOW.N,,,,,,,,,,,,,
